"","@context","@type","@type1","ratingValue","@type2","name","reviewBody","@context1","@type3","name1","sameAs","date"
"1","https://schema.org/","Review","Rating","5","Person","Current Employee - Payroll Specialist","Great company","https://schema.org/","Organization","Shell","http://www.shell.ca","FEATURED REVIEW"
"2","https://schema.org/","Review","Rating","5","Person","Current Employee - Sales Associate/Cashier","Friendly service, great prices.","https://schema.org/","Organization","Shell","http://www.shell.ca","Jan 9, 2024"
"3","https://schema.org/","Review","Rating","2","Person","Current Employee - New Grad Program","Garbage Graduate Program - Why Bother?","https://schema.org/","Organization","Shell","http://www.shell.ca","Dec 10, 2023"
"4","https://schema.org/","Review","Rating","4","Person","Current Employee - Business Development Manager","Good Place","https://schema.org/","Organization","Shell","http://www.shell.ca","Jan 26, 2024"
"5","https://schema.org/","Review","Rating","1","Person","Former Employee - Gas Jockey","a SHELL of it's former self","https://schema.org/","Organization","Shell","http://www.shell.ca","Jan 8, 2024"
"6","https://schema.org/","Review","Rating","5","Person","Former Employee - Field Supervisor","Company Review","https://schema.org/","Organization","Shell","http://www.shell.ca","Jan 2, 2024"
"7","https://schema.org/","Review","Rating","4","Person","Current Employee - Procurement Manager","Overall good place to work","https://schema.org/","Organization","Shell","http://www.shell.ca","Dec 21, 2023"
"8","https://schema.org/","Review","Rating","5","Person","Former Employee - Sales Associate/Cashier","Cashier","https://schema.org/","Organization","Shell","http://www.shell.ca","Dec 22, 2023"
"9","https://schema.org/","Review","Rating","5","Person","Current Employee - Manager","Working here has been good. Ownership and business has declined.","https://schema.org/","Organization","Shell","http://www.shell.ca","Sep 5, 2023"
"10","https://schema.org/","Review","Rating","3","Person","Current Employee - Control Systems Engineer","More Care for employee life, less for career growth and pay","https://schema.org/","Organization","Shell","http://www.shell.ca","Oct 23, 2023"
"11","https://schema.org/","Review","Rating","3","Person","Current Employee - Continuous Improvement Leader","No development for experience hires","https://schema.org/","Organization","Shell","http://www.shell.ca","Dec 7, 2023"
"12","https://schema.org/","Review","Rating","3","Person","Former Employee - Operator","Operator","https://schema.org/","Organization","Shell","http://www.shell.ca","Dec 4, 2023"
"13","https://schema.org/","Review","Rating","4","Person","Current Employee - Retail Store Associate","Gas station attendant","https://schema.org/","Organization","Shell","http://www.shell.ca","Oct 13, 2023"
"14","https://schema.org/","Review","Rating","2","Person","Former Employee - Cashier","Mediocre","https://schema.org/","Organization","Shell","http://www.shell.ca","Nov 27, 2023"
"15","https://schema.org/","Review","Rating","4","Person","Current Employee - Sales Associate","Shell","https://schema.org/","Organization","Shell","http://www.shell.ca","Nov 22, 2023"
"16","https://schema.org/","Review","Rating","5","Person","Former Employee - Intern","Very Positive","https://schema.org/","Organization","Shell","http://www.shell.ca","Nov 1, 2023"
"17","https://schema.org/","Review","Rating","4","Person","Current Employee - Product Manager","Great company with good benefits","https://schema.org/","Organization","Shell","http://www.shell.ca","Oct 20, 2023"
"18","https://schema.org/","Review","Rating","1","Person","Former Employee - Customer Service Representative","Nba","https://schema.org/","Organization","Shell","http://www.shell.ca","Nov 1, 2023"
"19","https://schema.org/","Review","Rating","5","Person","Current Employee - Cashier","good","https://schema.org/","Organization","Shell","http://www.shell.ca","Oct 13, 2023"
"20","https://schema.org/","Review","Rating","4","Person","Current Employee - Senior Engineer","Good Company to work for","https://schema.org/","Organization","Shell","http://www.shell.ca","Oct 12, 2023"
"21","https://schema.org/","Review","Rating","5","Person","Current Employee - Manager","Shell","https://schema.org/","Organization","Shell","http://www.shell.ca","Oct 4, 2023"
"22","https://schema.org/","Review","Rating","3","Person","Current Employee - Senior Software Engineer","Nice","https://schema.org/","Organization","Shell","http://www.shell.ca","Oct 6, 2023"
"23","https://schema.org/","Review","Rating","4","Person","Former Employee - Reliability Engineer","Great career with Shell","https://schema.org/","Organization","Shell","http://www.shell.ca","Sep 13, 2023"
"24","https://schema.org/","Review","Rating","2","Person","Former Employee - Manager","Uncooperative","https://schema.org/","Organization","Shell","http://www.shell.ca","Sep 28, 2023"
"25","https://schema.org/","Review","Rating","4","Person","Current Employee - Customer Service Representative (CSR)","Good Company","https://schema.org/","Organization","Shell","http://www.shell.ca","Sep 7, 2023"
"26","https://schema.org/","Review","Rating","1","Person","Former Employee - Retail Store Manager","Fools gold","https://schema.org/","Organization","Shell","http://www.shell.ca","Oct 6, 2023"
"27","https://schema.org/","Review","Rating","5","Person","Current Employee - Sales Associate","Working at Shell Wallaceburg.","https://schema.org/","Organization","Shell","http://www.shell.ca","Aug 23, 2023"
"28","https://schema.org/","Review","Rating","5","Person","Current Employee - Operations Manager","Great place to work","https://schema.org/","Organization","Shell","http://www.shell.ca","Aug 15, 2023"
"29","https://schema.org/","Review","Rating","5","Person","Current Employee - Senior Data Analyst","Shell is a great company to work in","https://schema.org/","Organization","Shell","http://www.shell.ca","Aug 19, 2023"
"30","https://schema.org/","Review","Rating","5","Person","Current Employee - Penguin Erector","Great company","https://schema.org/","Organization","Shell","http://www.shell.ca","Aug 13, 2023"
"31","https://schema.org/","Review","Rating","4","Person","Current Employee - General Manager","Good Company","https://schema.org/","Organization","Shell","http://www.shell.ca","Aug 7, 2023"
"32","https://schema.org/","Review","Rating","5","Person","Former Employee - Communications Specialist","great company people suck","https://schema.org/","Organization","Shell","http://www.shell.ca","Jul 27, 2023"
"33","https://schema.org/","Review","Rating","5","Person","Current Employee - Credit Manager","Good Place to Work","https://schema.org/","Organization","Shell","http://www.shell.ca","Aug 3, 2023"
"34","https://schema.org/","Review","Rating","4","Person","Former Employee - Customer Service Manager","About Shell","https://schema.org/","Organization","Shell","http://www.shell.ca","Aug 6, 2023"
"35","https://schema.org/","Review","Rating","2","Person","Former Employee - Senior Retail Manager","great","https://schema.org/","Organization","Shell","http://www.shell.ca","Jul 25, 2023"
"36","https://schema.org/","Review","Rating","4","Person","Current Employee - Anonymous Employee","Great company","https://schema.org/","Organization","Shell","http://www.shell.ca","Jul 13, 2023"
"37","https://schema.org/","Review","Rating","5","Person","Former Employee - Retail Salesperson","Great place to be for new hires","https://schema.org/","Organization","Shell","http://www.shell.ca","Jul 13, 2023"
"38","https://schema.org/","Review","Rating","4","Person","Former Employee - Supervisor","shell","https://schema.org/","Organization","Shell","http://www.shell.ca","Jul 31, 2023"
"39","https://schema.org/","Review","Rating","3","Person","Current Employee - Third Class Power Engineer","Reasonable","https://schema.org/","Organization","Shell","http://www.shell.ca","Jul 24, 2023"
"40","https://schema.org/","Review","Rating","4","Person","Current Employee - Procurement Lead","Brilliant place to work at","https://schema.org/","Organization","Shell","http://www.shell.ca","Jul 7, 2023"
"41","https://schema.org/","Review","Rating","2","Person","Current Employee - Senior Engineer","Once a great company","https://schema.org/","Organization","Shell","http://www.shell.ca","Jul 16, 2023"
"42","https://schema.org/","Review","Rating","3","Person","Current Employee - Senior Economist","Mostly interested in hiring based on gender, race, and sexual orientation","https://schema.org/","Organization","Shell","http://www.shell.ca","Jul 8, 2023"
"43","https://schema.org/","Review","Rating","1","Person","Former Employee - Coustomer Service Representative","Na","https://schema.org/","Organization","Shell","http://www.shell.ca","Aug 22, 2023"
"44","https://schema.org/","Review","Rating","4","Person","Current Employee - Customer Service Representative","Good place for work","https://schema.org/","Organization","Shell","http://www.shell.ca","Mar 6, 2023"
"45","https://schema.org/","Review","Rating","5","Person","Current Employee - Sr. Reservoir Engineer","Review","https://schema.org/","Organization","Shell","http://www.shell.ca","Jul 14, 2023"
"46","https://schema.org/","Review","Rating","5","Person","Current Employee - Senior Project Engineer","Good pay and benefits, treat employees well but","https://schema.org/","Organization","Shell","http://www.shell.ca","May 31, 2023"
"47","https://schema.org/","Review","Rating","5","Person","Current Employee - Chemist","Great work, great people, great company","https://schema.org/","Organization","Shell","http://www.shell.ca","Jun 22, 2023"
"48","https://schema.org/","Review","Rating","5","Person","Former Employee - Heavy Equipment Operator","great place to work","https://schema.org/","Organization","Shell","http://www.shell.ca","Jun 27, 2023"
"49","https://schema.org/","Review","Rating","5","Person","Former Employee - Process Operator","These are tough","https://schema.org/","Organization","Shell","http://www.shell.ca","Jun 15, 2023"
"50","https://schema.org/","Review","Rating","5","Person","Former Employee - Retail Sales Associate","Good","https://schema.org/","Organization","Shell","http://www.shell.ca","Jun 27, 2023"
"51","https://schema.org/","Review","Rating","5","Person","Current Employee - Sales Associate","Great to work there","https://schema.org/","Organization","Shell","http://www.shell.ca","Jun 8, 2023"
"52","https://schema.org/","Review","Rating","4","Person","Current Employee - Cashier","Good ,easy work,free time a lot","https://schema.org/","Organization","Shell","http://www.shell.ca","Jun 7, 2023"
"53","https://schema.org/","Review","Rating","4","Person","Current Employee - Petroleum Engineer","great","https://schema.org/","Organization","Shell","http://www.shell.ca","Jun 9, 2023"
"54","https://schema.org/","Review","Rating","5","Person","Current Employee - Supply Planning Manager","Excellent firm to work with","https://schema.org/","Organization","Shell","http://www.shell.ca","May 10, 2023"
"55","https://schema.org/","Review","Rating","5","Person","Former Employee - Senior Project Manager","Life @ Shell","https://schema.org/","Organization","Shell","http://www.shell.ca","May 30, 2023"
"56","https://schema.org/","Review","Rating","4","Person","Current Employee - Marketing Representative","retail manager","https://schema.org/","Organization","Shell","http://www.shell.ca","May 30, 2023"
"57","https://schema.org/","Review","Rating","5","Person","Current Employee - Projects HSES Manager","Excellent company to work for","https://schema.org/","Organization","Shell","http://www.shell.ca","May 14, 2023"
"58","https://schema.org/","Review","Rating","3","Person","Former Employee - Supervisor","Good 1st job","https://schema.org/","Organization","Shell","http://www.shell.ca","May 28, 2023"
"59","https://schema.org/","Review","Rating","4","Person","Former Employee - Key Account Manager (KAM)","Great Company to work","https://schema.org/","Organization","Shell","http://www.shell.ca","May 8, 2023"
"60","https://schema.org/","Review","Rating","5","Person","Current Employee - Cashier","A calm job for min. Wage","https://schema.org/","Organization","Shell","http://www.shell.ca","May 10, 2023"
"61","https://schema.org/","Review","Rating","5","Person","Current Employee - Recruiter","Excellent Company","https://schema.org/","Organization","Shell","http://www.shell.ca","Mar 29, 2023"
"62","https://schema.org/","Review","Rating","1","Person","Current Employee - Retail Store Manager","Low progress","https://schema.org/","Organization","Shell","http://www.shell.ca","Jun 15, 2023"
"63","https://schema.org/","Review","Rating","3","Person","Current Employee - Graduate Engineering Trainee GET","fe","https://schema.org/","Organization","Shell","http://www.shell.ca","May 10, 2023"
"64","https://schema.org/","Review","Rating","5","Person","Former Employee - Human Resounces Manager","Benefits are amazing","https://schema.org/","Organization","Shell","http://www.shell.ca","May 6, 2023"
"65","https://schema.org/","Review","Rating","5","Person","Current Employee - Sales Associate/Cashier","Experiencing different customers","https://schema.org/","Organization","Shell","http://www.shell.ca","Apr 2, 2023"
"66","https://schema.org/","Review","Rating","2","Person","Former Employee - Location Manager","Was fine","https://schema.org/","Organization","Shell","http://www.shell.ca","Dec 14, 2022"
"67","https://schema.org/","Review","Rating","5","Person","Former Employee - Engineer","Very good employer","https://schema.org/","Organization","Shell","http://www.shell.ca","Apr 17, 2023"
"68","https://schema.org/","Review","Rating","5","Person","Former Employee - Assistant Manager","Good","https://schema.org/","Organization","Shell","http://www.shell.ca","Apr 19, 2023"
"69","https://schema.org/","Review","Rating","5","Person","Current Employee - Sales Associate","Salary","https://schema.org/","Organization","Shell","http://www.shell.ca","Apr 17, 2023"
"70","https://schema.org/","Review","Rating","2","Person","Former Employee - Anonymous Employee","Cliquey","https://schema.org/","Organization","Shell","http://www.shell.ca","Apr 5, 2023"
"71","https://schema.org/","Review","Rating","5","Person","Current Employee - Sales Associate/Cashier","Best place","https://schema.org/","Organization","Shell","http://www.shell.ca","Apr 10, 2023"
"72","https://schema.org/","Review","Rating","4","Person","Current Employee - Full Service Carwash Attendant","Best first job","https://schema.org/","Organization","Shell","http://www.shell.ca","Apr 5, 2023"
"73","https://schema.org/","Review","Rating","3","Person","Current Employee - Technical Safety Engineer","Good place to develop a career","https://schema.org/","Organization","Shell","http://www.shell.ca","Jan 29, 2023"
"74","https://schema.org/","Review","Rating","5","Person","Current Employee - Operations Support Engineer","Great Place to Work","https://schema.org/","Organization","Shell","http://www.shell.ca","Mar 1, 2023"
"75","https://schema.org/","Review","Rating","5","Person","Current Employee - Finance Advisor","Great company","https://schema.org/","Organization","Shell","http://www.shell.ca","Mar 10, 2023"
"76","https://schema.org/","Review","Rating","5","Person","Current Employee - Retail Sales Associate","Working at Shell","https://schema.org/","Organization","Shell","http://www.shell.ca","Jan 29, 2023"
"77","https://schema.org/","Review","Rating","4","Person","Former Employee - Store Manager","Great Place to Start","https://schema.org/","Organization","Shell","http://www.shell.ca","Mar 12, 2023"
"78","https://schema.org/","Review","Rating","5","Person","Current Employee - Manager","Best place to work for","https://schema.org/","Organization","Shell","http://www.shell.ca","Mar 2, 2023"
"79","https://schema.org/","Review","Rating","3","Person","Former Employee - Customer Service Representative","Good employer","https://schema.org/","Organization","Shell","http://www.shell.ca","Mar 8, 2023"
"80","https://schema.org/","Review","Rating","4","Person","Former Employee - Advisor","Great Organization","https://schema.org/","Organization","Shell","http://www.shell.ca","Jan 23, 2023"
"81","https://schema.org/","Review","Rating","4","Person","Former Employee - Gas Station Attendant","It was an good experience","https://schema.org/","Organization","Shell","http://www.shell.ca","Feb 13, 2023"
"82","https://schema.org/","Review","Rating","4","Person","Current Employee - Team Lead","Good company","https://schema.org/","Organization","Shell","http://www.shell.ca","Feb 4, 2023"
"83","https://schema.org/","Review","Rating","4","Person","Former Employee - Production Engineer","anonymous","https://schema.org/","Organization","Shell","http://www.shell.ca","Feb 7, 2023"
"84","https://schema.org/","Review","Rating","5","Person","Former Employee - Business Analyst","Excellent place to work","https://schema.org/","Organization","Shell","http://www.shell.ca","Jan 15, 2023"
"85","https://schema.org/","Review","Rating","4","Person","Former Employee - Senior Process Engineer","Great benefits","https://schema.org/","Organization","Shell","http://www.shell.ca","Jan 13, 2023"
"86","https://schema.org/","Review","Rating","4","Person","Current Employee - Engineer","Good people","https://schema.org/","Organization","Shell","http://www.shell.ca","Jan 19, 2023"
"87","https://schema.org/","Review","Rating","3","Person","Current Employee - Pump Attendant","Got Paid","https://schema.org/","Organization","Shell","http://www.shell.ca","Jan 27, 2023"
"88","https://schema.org/","Review","Rating","5","Person","Current Employee - Account Manager","Good","https://schema.org/","Organization","Shell","http://www.shell.ca","Jan 25, 2023"
"89","https://schema.org/","Review","Rating","5","Person","Former Employee - Anonymous Employee","Benefits","https://schema.org/","Organization","Shell","http://www.shell.ca","Jan 20, 2023"
"90","https://schema.org/","Review","Rating","5","Person","Former Employee - Supervisor","gas station supervisor","https://schema.org/","Organization","Shell","http://www.shell.ca","Jan 12, 2023"
"91","https://schema.org/","Review","Rating","3","Person","Current Employee - Gas operators","Gas operations","https://schema.org/","Organization","Shell","http://www.shell.ca","Jan 15, 2023"
